
Index	Potential applied (V)	Time (s)	WE(1).Current (A)	Column 5 (V/s)	Scan	WE(1).Potential (V)
8074	0.35491943359375	743.094039123868	-0.000108001708984375		2	0.354583740234375
8075	0.354461669921875	743.185592123637	-0.00010791015625		2	0.3541259765625
8076	0.35400390625	743.277145123406	-0.000108001708984375		2	0.35369873046875
8077	0.353546142578125	743.368698123174	-0.00010797119140625		2	0.353271484375
8078	0.35308837890625	743.460251122943	-0.000107940673828125		2	0.352752685546875
8079	0.352630615234375	743.551804122712	-0.00010784912109375		2	0.35235595703125
8080	0.3521728515625	743.643357122481	-0.00010784912109375		2	0.35186767578125
8081	0.351715087890625	743.73491012225	-0.000107879638671875		2	0.351409912109375
8082	0.35125732421875	743.826463122019	-0.00010784912109375		2	0.3509521484375
8083	0.350799560546875	743.918016121788	-0.0001077880859375		2	0.350555419921875
8084	0.350341796875	744.009569121556	-0.000107696533203125		2	0.350006103515625
8085	0.349884033203125	744.101122121325	-0.000107635498046875		2	0.349639892578125
8086	0.34942626953125	744.192675121094	-0.00010760498046875		2	0.34912109375
8087	0.348968505859375	744.284228120863	-0.000107574462890625		2	0.348724365234375
8088	0.3485107421875	744.375781120632	-0.000107513427734375		2	0.34820556640625
8089	0.348052978515625	744.467334120401	-0.00010748291015625		2	0.347808837890625
8090	0.34759521484375	744.55888712017	-0.000107452392578125		2	0.3472900390625
8091	0.347137451171875	744.650440119938	-0.000107330322265625		2	0.346832275390625
8092	0.3466796875	744.741993119707	-0.000107330322265625		2	0.34637451171875
8093	0.346221923828125	744.833546119476	-0.000107391357421875		2	0.34588623046875
8094	0.34576416015625	744.925099119245	-0.000107391357421875		2	0.345489501953125
8095	0.345306396484375	745.016652119014	-0.0001072998046875		2	0.344970703125
8096	0.3448486328125	745.108205118783	-0.00010723876953125		2	0.34454345703125
8097	0.344390869140625	745.199758118551	-0.000107177734375		2	0.34405517578125
8098	0.34393310546875	745.29131111832	-0.000107208251953125		2	0.3436279296875
8099	0.343475341796875	745.382864118089	-0.000107086181640625		2	0.343170166015625
8100	0.343017578125	745.474417117858	-0.0001070556640625		2	0.34271240234375
8101	0.342559814453125	745.565970117627	-0.000107025146484375		2	0.342254638671875
8102	0.34210205078125	745.657523117396	-0.00010699462890625		2	0.341827392578125
8103	0.341644287109375	745.749076117165	-0.000106597900390625		2	0.341400146484375
8104	0.3411865234375	745.840629116933	-0.000106597900390625		2	0.340911865234375
8105	0.340728759765625	745.932182116702	-0.0001065673828125		2	0.340423583984375
8106	0.34027099609375	746.023735116471	-0.000106536865234375		2	0.3399658203125
8107	0.339813232421875	746.11528811624	-0.00010650634765625		2	0.3394775390625
8108	0.33935546875	746.206841116009	-0.00010650634765625		2	0.33905029296875
8109	0.338897705078125	746.298394115778	-0.0001065673828125		2	0.33856201171875
8110	0.33843994140625	746.389947115547	-0.00010650634765625		2	0.338165283203125
8111	0.337982177734375	746.481500115315	-0.0001064453125		2	0.337677001953125
8112	0.3375244140625	746.573053115084	-0.0001064453125		2	0.33721923828125
8113	0.337066650390625	746.664606114853	-0.000106414794921875		2	0.336761474609375
8114	0.33660888671875	746.756159114622	-0.000106536865234375		2	0.336273193359375
8115	0.336151123046875	746.847712114391	-0.000106414794921875		2	0.33587646484375
8116	0.335693359375	746.93926511416	-0.000106414794921875		2	0.33544921875
8117	0.335235595703125	747.030818113928	-0.0001063232421875		2	0.334991455078125
8118	0.33477783203125	747.122371113697	-0.00010626220703125		2	0.33447265625
8119	0.334320068359375	747.213924113466	-0.00010626220703125		2	0.334014892578125
8120	0.3338623046875	747.305477113235	-0.000106231689453125		2	0.333587646484375
8121	0.333404541015625	747.397030113004	-0.000106170654296875		2	0.333099365234375
8122	0.33294677734375	747.488583112773	-0.00010614013671875		2	0.332733154296875
8123	0.332489013671875	747.580136112542	-0.0001060791015625		2	0.332244873046875
8124	0.33203125	747.67168911231	-0.000106170654296875		2	0.331695556640625
8125	0.331573486328125	747.763242112079	-0.0001058349609375		2	0.331329345703125
8126	0.33111572265625	747.854795111848	-0.000105865478515625		2	0.33087158203125
8127	0.330657958984375	747.946348111617	-0.000105804443359375		2	0.330413818359375
8128	0.3302001953125	748.037901111386	-0.000105804443359375		2	0.329925537109375
8129	0.329742431640625	748.129454111155	-0.000105712890625		2	0.329437255859375
8130	0.32928466796875	748.221007110924	-0.000105743408203125		2	0.329010009765625
8131	0.328826904296875	748.312560110692	-0.000105682373046875		2	0.328582763671875
