
Index	Potential applied (V)	Time (s)	WE(1).Current (A)	WE(2).Current (A)	Scan	WE(1).Potential (V)
5364	0.50506591796875	513.965253702362	-0.00086578369140625	5.6243896484375E-05	2	
5365	0.505523681640625	514.056806702131	-0.00086212158203125	5.5908203125E-05	2	
5366	0.5059814453125	514.1483597019	-0.0008642578125	5.60302734375E-05	2	
5367	0.506439208984375	514.239912701669	-0.00086151123046875	5.6304931640625E-05	2	
5368	0.50689697265625	514.331465701438	-0.0008624267578125	5.621337890625E-05	2	
5369	0.507354736328125	514.423018701207	-0.000860595703125	5.5877685546875E-05	2	
5370	0.5078125	514.514571700976	-0.00086090087890625	5.596923828125E-05	2	
5371	0.508270263671875	514.606124700744	-0.000859375	5.5694580078125E-05	2	
5372	0.50872802734375	514.697677700513	-0.0008587646484375	5.5938720703125E-05	2	
5373	0.509185791015625	514.789230700282	-0.00085845947265625	5.57861328125E-05	2	
5374	0.5096435546875	514.880783700051	-0.0008575439453125	5.5877685546875E-05	2	
5375	0.510101318359375	514.97233669982	-0.00085845947265625	5.596923828125E-05	2	
5376	0.51055908203125	515.063889699589	-0.000855712890625	5.596923828125E-05	2	
5377	0.511016845703125	515.155442699358	-0.00085723876953125	5.5908203125E-05	2	
5378	0.511474609375	515.246995699126	-0.0008544921875	5.584716796875E-05	2	
5379	0.511932373046875	515.338548698895	-0.00085662841796875	5.6060791015625E-05	2	
5380	0.51239013671875	515.430101698664	-0.0008526611328125	5.584716796875E-05	2	
5381	0.512847900390625	515.521654698433	-0.0008551025390625	5.584716796875E-05	2	
5382	0.5133056640625	515.613207698202	-0.000850830078125	5.5816650390625E-05	2	
5383	0.513763427734375	515.704760697971	-0.00085357666015625	5.5908203125E-05	2	
5384	0.51422119140625	515.796313697739	-0.00084930419921875	5.5816650390625E-05	2	
5385	0.514678955078125	515.887866697508	-0.00085205078125	5.57861328125E-05	2	
5386	0.51513671875	515.979419697277	-0.0008477783203125	5.5755615234375E-05	2	
5387	0.515594482421875	516.070972697046	-0.0008502197265625	5.5877685546875E-05	2	
5388	0.51605224609375	516.162525696815	-0.00084625244140625	5.5511474609375E-05	2	
5389	0.516510009765625	516.254078696584	-0.000848388671875	5.572509765625E-05	2	
5390	0.5169677734375	516.345631696353	-0.00084503173828125	5.5633544921875E-05	2	
5391	0.517425537109375	516.437184696121	-0.00084686279296875	5.5755615234375E-05	2	
5392	0.51788330078125	516.52873769589	-0.00084503173828125	5.5694580078125E-05	2	
5393	0.518341064453125	516.620290695659	-0.00084564208984375	5.572509765625E-05	2	
5394	0.518798828125	516.711843695428	-0.0008441162109375	5.5633544921875E-05	2	
5395	0.519256591796875	516.803396695197	-0.000843505859375	5.5450439453125E-05	2	
5396	0.51971435546875	516.894949694966	-0.0008428955078125	5.5511474609375E-05	2	
5397	0.520172119140625	516.986502694735	-0.00084228515625	5.5328369140625E-05	2	
5398	0.5206298828125	517.078055694503	-0.00084197998046875	5.5572509765625E-05	2	
5399	0.521087646484375	517.169608694272	-0.00084014892578125	5.5511474609375E-05	2	
5400	0.52154541015625	517.261161694041	-0.0008416748046875	5.5694580078125E-05	2	
5401	0.522003173828125	517.35271469381	-0.00083831787109375	5.535888671875E-05	2	
5402	0.5224609375	517.444267693579	-0.00084014892578125	5.535888671875E-05	2	
5403	0.522918701171875	517.535820693348	-0.000836181640625	5.535888671875E-05	2	
5404	0.52337646484375	517.627373693117	-0.00083831787109375	5.548095703125E-05	2	
5405	0.523834228515625	517.718926692885	-0.0008343505859375	5.5206298828125E-05	2	
5406	0.5242919921875	517.810479692654	-0.00083709716796875	5.5328369140625E-05	2	
5407	0.524749755859375	517.902032692423	-0.00083343505859375	5.48095703125E-05	2	
5408	0.52520751953125	517.993585692192	-0.00083587646484375	5.5450439453125E-05	2	
5409	0.525665283203125	518.085138691961	-0.0008319091796875	5.4962158203125E-05	2	
5410	0.526123046875	518.17669169173	-0.0008343505859375	5.5267333984375E-05	2	
5411	0.526580810546875	518.268244691498	-0.0008306884765625	5.50537109375E-05	2	
5412	0.52703857421875	518.359797691267	-0.00083251953125	5.535888671875E-05	2	
5413	0.527496337890625	518.451350691036	-0.00082916259765625	5.4840087890625E-05	2	
5414	0.5279541015625	518.542903690805	-0.00083099365234375	5.5084228515625E-05	2	
5415	0.528411865234375	518.634456690574	-0.0008282470703125	5.5023193359375E-05	2	
