index	Potential [V]	Disk Current density[mA/cm2]	Ring Current density[mA/cm2]
3577	0.4397001704513102	-1.1589508056640625	0.0572662353515625
3578	0.439250891170513	-1.1593017578125	0.0570526123046875
3579	0.43879497193148104	-1.1593780517578125	0.057342529296875
3580	0.4383560214746048	-1.16015625	0.057220458984375
3581	0.43789715114302397	-1.1601104736328125	0.057098388671875
3582	0.437448609635364	-1.160491943359375	0.05723571777343751
3583	0.43698937041721464	-1.160430908203125	0.057281494140625
3584	0.4365441488886721	-1.16094970703125	0.0574951171875
3585	0.436098558473561	-1.1614532470703125	0.0572967529296875
3586	0.4356555502644301	-1.1620635986328123	0.057525634765625
3587	0.43521032873588755	-1.1625823974609373	0.0573272705078125
3588	0.4347676894133253	-1.1632080078125	0.057708740234375
3589	0.43431988567880253	-1.1636199951171875	0.0573577880859375
3590	0.43388056633535765	-1.1643829345703125	0.057586669921875
3591	0.4334287048485803	-1.1646270751953125	0.057464599609375
3592	0.43299307437082146	-1.1655426025390625	0.0577850341796875
3593	0.4325397373377697	-1.1657257080078127	0.05755615234375001
3594	0.43209820467491317	-1.1663970947265625	0.05781555175781249
3595	0.43164007211646954	-1.1663818359375	0.0575408935546875
3596	0.43118968617596665	-1.1666870117187502	0.0577545166015625
3597	0.4307433579877183	-1.1671600341796877	0.05767822265625001
3598	0.4302889142949607	-1.16729736328125	0.0576171875
3599	0.42983815946788917	-1.1675872802734375	0.0577392578125
3600	0.42937818247660253	-1.1674957275390625	0.0577850341796875
3601	0.4289244765569822	-1.16766357421875	0.0576629638671875
3602	0.4284582284940293	-1.1673126220703125	0.05796813964843751
3603	0.4280141136251926	-1.167877197265625	0.0577850341796875
3604	0.42756446545782684	-1.168212890625	0.058013916015625
3605	0.42711739949644134	-1.1686553955078125	0.0577392578125
3606	0.42666037359770353	-1.1686859130859375	0.0579681396484375
3607	0.42622031648112146	-1.1694183349609375	0.0578155517578125
3608	0.42576181503610927	-1.1693878173828125	0.05804443359375001
3609	0.4253199134866842	-1.1700439453125002	0.0579071044921875
3610	0.4248680519999068	-1.1702880859374998	0.05804443359375001
3611	0.42442024826538405	-1.1707000732421873	0.0580596923828125
3612	0.4239709689845869	-1.171051025390625	0.0580291748046875
3613	0.4235268541157502	-1.1716156005859375	0.0580596923828125
3614	0.4230657704647578	-1.171478271484375	0.05810546875
3615	0.42262018004964663	-1.1719818115234375	0.05816650390625001
3616	0.42216094083149724	-1.1719207763671875	0.05792236328125001
3617	0.4217267859000128	-1.1728973388671875	0.05828857421875001
3618	0.4212686533415692	-1.172882080078125	0.058197021484375
3619	0.4208219562667523	-1.17333984375	0.0582275390625
3620	0.42037267698595515	-1.1736907958984375	0.0580291748046875
3621	0.41991380665437433	-1.17364501953125	0.0581817626953125
3622	0.41945530520936214	-1.173614501953125	0.0581512451171875
3623	0.41900123040317316	-1.17376708984375	0.0583648681640625
3624	0.41855859108061083	-1.1743927001953123	0.058349609375
3625	0.4181214850565776	-1.1752471923828125	0.05830383300781249
3626	0.41768511680568154	-1.1761322021484375	0.0586090087890625
3627	0.4172347308651786	-1.1764373779296875	0.0583648681640625
3628	0.4167898782232047	-1.176971435546875	0.0584869384765625
