index	Potential [V]	Disk Current density[mA/cm2]	Ring Current density[mA/cm2]
3083	0.6564601722165295	-0.771148681640625	0.0348907470703125
3082	0.6568677673150746	-0.769073486328125	0.034648132324218754
3081	0.6572956511748927	-0.7678375244140625	0.03469390869140625
3080	0.6577061973659867	-0.7658843994140625	0.034565734863281246
3079	0.6581355567720792	-0.76470947265625	0.03430328369140625
3078	0.6585368807989581	-0.7623748779296874	0.0343902587890625
3077	0.6589702979573053	-0.7613677978515625	0.034283447265625
3076	0.6593697775513412	-0.7589569091796875	0.0342681884765625
3075	0.6598076213485116	-0.7581329345703126	0.0340362548828125
3074	0.6602144786739195	-0.7560272216796875	0.03391265869140625
3073	0.6606390425546202	-0.7546539306640625	0.033879089355468746
3072	0.6610462687665968	-0.7525634765625	0.03397216796875
3071	0.6614671437816115	-0.7510375976562501	0.033708190917968756
3070	0.6618876499100577	-0.7494964599609375	0.033673095703125
3069	0.6622934005757597	-0.747344970703125	0.03350372314453125
3068	0.6627157511370488	-0.745880126953125	0.033460998535156244
3067	0.6631347817192206	-0.7442779541015625	0.03331451416015625
3066	0.6635519678685493	-0.7425994873046875	0.03332366943359375
3065	0.6639591940805258	-0.740509033203125	0.0331390380859375
3064	0.664381544641815	-0.739044189453125	0.03316192626953125
3063	0.6647880330806543	-0.7369232177734375	0.032856750488281246
3062	0.6652100147553748	-0.7354431152343751	0.03293457031250001
3061	0.665614658761371	-0.733245849609375	0.0326446533203125
3060	0.6660440181674637	-0.7320709228515626	0.03278656005859375
3059	0.6664505066063029	-0.729949951171875	0.03255615234375
3058	0.6668750704870037	-0.7285766601562499	0.03251800537109375
3057	0.6672760256273139	-0.726226806640625	0.03241119384765625
3056	0.6677053850334066	-0.7250518798828125	0.0322845458984375
3055	0.6681008068751877	-0.72247314453125	0.03216705322265625
3054	0.6685320107141234	-0.7213745117187501	0.0320404052734375
3053	0.6689333347410023	-0.7190399169921874	0.03202056884765625
3052	0.669357898621703	-0.7176666259765625	0.0319061279296875
3051	0.669758115988876	-0.7152862548828124	0.031817626953125004
3050	0.6701856309621256	-0.7140350341796875	0.03168945312500001
3049	0.6705869549890044	-0.711700439453125	0.03165130615234375
3048	0.6710081988905878	-0.7101898193359375	0.03135528564453125
3047	0.6714106295771725	-0.7079010009765626	0.0314300537109375
3046	0.671836300117579	-0.706573486328125	0.03129730224609375
3045	0.6722442641026927	-0.7045135498046875	0.031187438964843748
3044	0.6726640324580017	-0.70294189453125	0.0311309814453125
3043	0.6730694142371351	-0.700775146484375	0.03111724853515625
3042	0.6734913959118557	-0.6992950439453125	0.03071136474609375
3041	0.6738975154641264	-0.6971588134765625	0.030923461914062502
3040	0.6743110127477691	-0.6953277587890625	0.03066558837890625
3039	0.6747248789179804	-0.693511962890625	0.030583190917968746
3038	0.6751339495627998	-0.691497802734375	0.030450439453125002
3037	0.6755577756703633	-0.690093994140625	0.030451965332031254
3036	0.6759546730584189	-0.6875762939453125	0.030245971679687504
3035	0.6763748103002966	-0.6860198974609376	0.0302520751953125
3034	0.6767790854197242	-0.683807373046875	0.03014678955078125
3033	0.6772003293213076	-0.6822967529296875	0.03005828857421875
3032	0.677602022234755	-0.6799774169921874	0.029786682128906252
3031	0.6780206839303581	-0.6783599853515625	0.029876708984375
3030	0.6784209012975312	-0.6759796142578125	0.0296966552734375
3029	0.678847309611075	-0.6746826171875	0.02974853515625
3028	0.6792453136588363	-0.6722106933593749	0.02930908203125
3027	0.6796628686947337	-0.6705474853515626	0.02941131591796875
3026	0.6800601349693579	-0.6680450439453126	0.029177856445312497
3025	0.6804846988500587	-0.6666717529296875	0.0291717529296875
3024	0.6808775384858596	-0.6639862060546875	0.02916717529296875
3023	0.6813035779128348	-0.6626739501953126	0.028912353515625
3022	0.6816964175486357	-0.6599884033203125	0.028829956054687498
3021	0.682124301408454	-0.65875244140625	0.028739929199218753
3020	0.6825219365696468	-0.6562652587890625	0.028692626953124998
3019	0.682942442698093	-0.6547241210937499	0.02845458984375
3018	0.6833393400861486	-0.6522064208984375	0.02848358154296875
3017	0.6837598462145947	-0.650665283203125	0.028216552734375004
3016	0.6841615391280421	-0.648345947265625	0.028259277343749997
3015	0.6845728230922733	-0.6464233398437501	0.0280792236328125
3014	0.684978942644544	-0.6442871093750001	0.02807464599609375
3013	0.6853894888356378	-0.6423339843749999	0.027886962890625
3012	0.685795977274477	-0.6402130126953124	0.027935791015625
